filename,file_path,predicted_emotion,confidence,top2_emotion,top2_confidence,confidence_gap
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\Style\Control_Group\0005.wav,angry,0.655,fearful,0.215,0.44000000000000006
0004.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\Dark Paradise\Control_Group\0004.wav,angry,0.645,fearful,0.16,0.485
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Vibrato\All of Me\Vibrato_Group\0005.wav,angry,0.62,fearful,0.245,0.375
0001.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\Talking to the Moon\Control_Group\0001.wav,angry,0.595,fearful,0.22,0.375
0010.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\Love on the Brain\Control_Group\0010.wav,angry,0.53,fearful,0.21,0.32000000000000006
0000.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\Exile\Mixed_Voice_Group\0000.wav,angry,0.515,fearful,0.245,0.27
0007.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Vibrato\Long Live\Control_Group\0007.wav,angry,0.505,fearful,0.25,0.255
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Breathy\Easy On Me\Control_Group\0005.wav,fearful,0.505,happy,0.17,0.33499999999999996
0007.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Glissando\All I Ask\Glissando_Group\0007.wav,angry,0.475,happy,0.245,0.22999999999999998
0003.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Pharyngeal\monsters\Pharyngeal_Group\0003.wav,fearful,0.46,angry,0.205,0.255
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\Shallow\Control_Group\0005.wav,angry,0.46,fearful,0.25,0.21000000000000002
0004.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\Style\Falsetto_Group\0004.wav,fearful,0.445,happy,0.285,0.16000000000000003
0010.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Breathy\innocence\Breathy_Group\0010.wav,fearful,0.43,angry,0.21,0.22
0002.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Pharyngeal\What Was I Made For∩╝ƒ\Pharyngeal_Group\0002.wav,angry,0.43,fearful,0.25,0.18
0004.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Glissando\tell me that you love me\Control_Group\0004.wav,angry,0.425,fearful,0.28,0.14499999999999996
0008.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Glissando\for the first time in forever\Control_Group\0008.wav,happy,0.41,fearful,0.22,0.18999999999999997
0002.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Mixed_Voice_and_Falsetto\My Love\Control_Group\0002.wav,angry,0.39,fearful,0.34,0.04999999999999999
0003.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Vibrato\All I Ask\Vibrato_Group\0003.wav,happy,0.36,sad,0.16,0.19999999999999998
0000.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Breathy\who says\Control_Group\0000.wav,sad,0.36,calm,0.265,0.09499999999999997
0003.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Pharyngeal\All I Ask\Pharyngeal_Group\0003.wav,fearful,0.355,angry,0.255,0.09999999999999998
0007.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Glissando\You Belong With Me\Glissando_Group\0007.wav,angry,0.355,happy,0.33,0.024999999999999967
0010.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Breathy\Stay\Breathy_Group\0010.wav,fearful,0.345,surprised,0.175,0.16999999999999998
0007.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Breathy\What Was I Made For∩╝ƒ\Control_Group\0007.wav,fearful,0.34,happy,0.24,0.10000000000000003
0000.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Breathy\innocence\Breathy_Group\0000.wav,fearful,0.33003424657534247,happy,0.175,0.15503424657534248
0009.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Vibrato\You Belong With Me\Vibrato_Group\0009.wav,angry,0.33,happy,0.3,0.030000000000000027
0012.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Breathy\Always Remember Us This Way\Breathy_Group\0012.wav,happy,0.33,angry,0.315,0.015000000000000013
0000.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Vibrato\I Knew You Were Trouble\Control_Group\0000.wav,happy,0.325,fearful,0.22,0.10500000000000001
0003.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Glissando\Always Remember Us This Way\Control_Group\0003.wav,happy,0.315,angry,0.27506849315068493,0.03993150684931507
0000.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Vibrato\All of Me\Control_Group\0000.wav,fearful,0.31,happy,0.28,0.02999999999999997
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Mixed_Voice_and_Falsetto\All of Me\Falsetto_Group\0005.wav,happy,0.31,fearful,0.295,0.015000000000000013
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Breathy\Million Reasons\Control_Group\0005.wav,fearful,0.3,angry,0.255,0.044999999999999984
0003.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Mixed_Voice_and_Falsetto\You Raise Me Up\Control_Group\0003.wav,fearful,0.3,angry,0.27,0.02999999999999997
0001.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Pharyngeal\love stroy\Pharyngeal_Group\0001.wav,fearful,0.295,angry,0.255,0.03999999999999998
0004.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Glissando\Always Remember Us This Way\Glissando_Group\0004.wav,fearful,0.295,fearful,0.295,0.0
0001.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Breathy\innocence\Breathy_Group\0001.wav,happy,0.295,disgust,0.205,0.09
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Mixed_Voice_and_Falsetto\Dream It Possible\Falsetto_Group\0005.wav,fearful,0.295,happy,0.195,0.09999999999999998
0002.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Pharyngeal\You Belong With Me\Control_Group\0002.wav,fearful,0.29,happy,0.285,0.0050000000000000044
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\You Belong With Me\Mixed_Voice_Group\0005.wav,fearful,0.285,happy,0.245,0.03999999999999998
0013.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Breathy\innocence\Breathy_Group\0013.wav,happy,0.28,fearful,0.255,0.025000000000000022
0007.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Vibrato\Always Remember Us This Way\Control_Group\0007.wav,happy,0.275,fearful,0.21,0.06500000000000003
0012.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Mixed_Voice_and_Falsetto\let it go\Falsetto_Group\0012.wav,sad,0.27,fearful,0.205,0.06500000000000003
0002.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Breathy\all is found\Breathy_Group\0002.wav,disgust,0.26649999999999996,fearful,0.1675,0.09899999999999995
0008.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Breathy\Shallow\Control_Group\0008.wav,fearful,0.265,happy,0.19,0.07500000000000001
0002.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Glissando\You Belong With Me\Control_Group\0002.wav,happy,0.265,fearful,0.24,0.025000000000000022
0004.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Mixed_Voice_and_Falsetto\Hey Jude\Falsetto_Group\0004.wav,fearful,0.265,sad,0.24,0.025000000000000022
0006.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Mixed_Voice_and_Falsetto\You Raise Me Up\Mixed_Voice_Group\0006.wav,fearful,0.26,happy,0.24,0.020000000000000018
0003.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Tenor-1\Mixed_Voice_and_Falsetto\Always Remember Us This Way\Mixed_Voice_Group\0003.wav,fearful,0.255,happy,0.245,0.010000000000000009
0005.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-1\Pharyngeal\tell me that you love me\Control_Group\0005.wav,happy,0.255,fearful,0.25,0.0050000000000000044
test_melody.mp3,vocal-to-score-demo/Input/test_melody.mp3,happy,0.23004716981132078,disgust,0.22004716981132078,0.010000000000000009
0004.wav,vocal-to-score-demo/Input/GTSinger_sample_50/EN-Alto-2\Mixed_Voice_and_Falsetto\City Of Stars\Mixed_Voice_Group\0004.wav,fearful,0.23,surprised,0.18,0.05000000000000002
