file,midi_output,precision,recall,f_measure,ref_count,pred_count,raw_pitch_accuracy,raw_chroma_accuracy,overall_accuracy,voicing_recall,voicing_false_alarm
EN-Alto-2/Breathy/Someone You Loved/Control_Group/0003.wav,EN-Alto-2/Breathy/Someone You Loved/Control_Group/0003.mid,0.3684210526315789,0.28,0.3181818181818182,25,19,0.8194444444444444,0.8194444444444444,0.8436708860759494,0.8201754385964912,0.0
EN-Alto-2/Glissando/Love Story/Control_Group/0001.wav,EN-Alto-2/Glissando/Love Story/Control_Group/0001.mid,0.13333333333333333,0.1111111111111111,0.1212121212121212,18,15,0.8076602830974188,0.8076602830974188,0.8614277144571085,0.8076602830974188,0.0
EN-Alto-2/Mixed_Voice_and_Falsetto/My Love/Mixed_Voice_Group/0000.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/My Love/Mixed_Voice_Group/0000.mid,0.09090909090909091,0.08333333333333333,0.08695652173913043,12,11,0.7479757085020243,0.7479757085020243,0.8427037271004422,0.7489878542510121,0.0
EN-Alto-1/Pharyngeal/beauty and the beast/Pharyngeal_Group/0000.wav,EN-Alto-1/Pharyngeal/beauty and the beast/Pharyngeal_Group/0000.mid,0.0,0.0,0.0,5,6,0.7676240208877284,0.7676240208877284,0.804857621440536,0.7780678851174935,0.12850467289719625
EN-Tenor-1/Pharyngeal/Always Remember Us This Way/Pharyngeal_Group/0008.wav,EN-Tenor-1/Pharyngeal/Always Remember Us This Way/Pharyngeal_Group/0008.mid,0.06666666666666667,0.07142857142857142,0.0689655172413793,14,15,0.8730569948186528,0.8730569948186528,0.8785488958990536,0.9162348877374784,0.06363636363636363
EN-Tenor-1/Vibrato/Always Remember Us This Way/Control_Group/0011.wav,EN-Tenor-1/Vibrato/Always Remember Us This Way/Control_Group/0011.mid,0.75,0.5,0.6,6,4,0.9516908212560387,0.9516908212560387,0.9573978123200921,0.9516908212560387,0.013888888888888888
EN-Tenor-1/Mixed_Voice_and_Falsetto/Someone You Loved/Falsetto_Group/0007.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Someone You Loved/Falsetto_Group/0007.mid,0.3,0.3157894736842105,0.3076923076923077,19,20,0.8481638418079096,0.8481638418079096,0.8607516943930992,0.8848870056497176,0.05314009661835749
EN-Tenor-1/Mixed_Voice_and_Falsetto/Style/Mixed_Voice_Group/0007.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Style/Mixed_Voice_Group/0007.mid,0.4666666666666667,0.4666666666666667,0.4666666666666667,15,15,0.8106212424849699,0.8106212424849699,0.824165915238954,0.8216432865731463,0.05405405405405406
EN-Alto-2/Glissando/A Thousand Years/Glissando_Group/0005.wav,EN-Alto-2/Glissando/A Thousand Years/Glissando_Group/0005.mid,0.2727272727272727,0.2727272727272727,0.2727272727272727,11,11,0.8623040218132243,0.8623040218132243,0.8854718981972428,0.8623040218132243,0.03341288782816229
EN-Alto-2/Mixed_Voice_and_Falsetto/Let It Go/Mixed_Voice_Group/0001.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/Let It Go/Mixed_Voice_Group/0001.mid,0.23529411764705882,0.2,0.2162162162162162,20,17,0.7934362934362934,0.7934362934362934,0.8409197559831065,0.7934362934362934,0.03119584055459272
EN-Alto-2/Mixed_Voice_and_Falsetto/Someone Like You/Mixed_Voice_Group/0006.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/Someone Like You/Mixed_Voice_Group/0006.mid,0.28,0.25,0.2641509433962264,28,25,0.8334220329962746,0.8334220329962746,0.8588764044943821,0.8472591804151144,0.002890173410404624
EN-Alto-1/Mixed_Voice_and_Falsetto/seasons in the sun/Falsetto_Group/0016.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/seasons in the sun/Falsetto_Group/0016.mid,0.29411764705882354,0.38461538461538464,0.33333333333333337,13,17,0.8350419384902144,0.8350419384902144,0.8850649350649351,0.8574091332712023,0.0
EN-Tenor-1/Mixed_Voice_and_Falsetto/Wildest Dreams/Falsetto_Group/0003.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Wildest Dreams/Falsetto_Group/0003.mid,0.2222222222222222,0.25,0.23529411764705882,16,18,0.7630522088353414,0.7630522088353414,0.7824510514865844,0.8329317269076305,0.03731343283582089
EN-Tenor-1/Breathy/Shallow/Breathy_Group/0008.wav,EN-Tenor-1/Breathy/Shallow/Breathy_Group/0008.mid,0.15384615384615385,0.18181818181818182,0.16666666666666669,11,13,0.8640845070422535,0.8640845070422535,0.8595773687798227,0.8640845070422535,0.2765957446808511
EN-Alto-1/Mixed_Voice_and_Falsetto/yesterday once more/Control_Group/0000.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/yesterday once more/Control_Group/0000.mid,0.14285714285714285,0.18181818181818182,0.16,11,14,0.7875751503006012,0.7875751503006012,0.877030162412993,0.8867735470941884,0.0
EN-Tenor-1/Mixed_Voice_and_Falsetto/Talking to the Moon/Control_Group/0000.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Talking to the Moon/Control_Group/0000.mid,0.2727272727272727,0.16666666666666666,0.20689655172413793,18,11,0.8907870652837095,0.8907870652837095,0.8974212034383954,0.9023794996949359,0.0
EN-Alto-2/Glissando/My Love/Control_Group/0005.wav,EN-Alto-2/Glissando/My Love/Control_Group/0005.mid,0.15789473684210525,0.17647058823529413,0.16666666666666669,17,19,0.7871437234687689,0.7871437234687689,0.8061844284925456,0.7895694360218314,0.0
EN-Tenor-1/Glissando/Million Reasons/Glissando_Group/0002.wav,EN-Tenor-1/Glissando/Million Reasons/Glissando_Group/0002.mid,0.10526315789473684,0.08,0.0909090909090909,25,19,0.8395922746781116,0.8395922746781116,0.8486486486486486,0.8497854077253219,0.05263157894736842
EN-Tenor-1/Vibrato/Always Remember Us This Way/Vibrato_Group/0007.wav,EN-Tenor-1/Vibrato/Always Remember Us This Way/Vibrato_Group/0007.mid,0.75,0.75,0.75,8,8,0.9699828473413379,0.9699828473413379,0.9719844357976654,0.9725557461406518,0.008403361344537815
EN-Alto-2/Glissando/Young And Beautiful/Control_Group/0003.wav,EN-Alto-2/Glissando/Young And Beautiful/Control_Group/0003.mid,0.5,0.4117647058823529,0.45161290322580644,17,14,0.9388888888888889,0.9388888888888889,0.9534619750283768,0.9428571428571428,0.0099601593625498
EN-Tenor-1/Mixed_Voice_and_Falsetto/What Was I Made For？/Falsetto_Group/0003.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/What Was I Made For？/Falsetto_Group/0003.mid,0.3333333333333333,0.3333333333333333,0.3333333333333333,15,15,0.9187628865979381,0.9187628865979381,0.9205905826017557,0.92,0.024691358024691357
EN-Alto-2/Breathy/A Thousand Years/Control_Group/0001.wav,EN-Alto-2/Breathy/A Thousand Years/Control_Group/0001.mid,0.25,0.21052631578947367,0.22857142857142856,19,16,0.8724584103512015,0.8724584103512015,0.891566265060241,0.8724584103512015,0.0
EN-Alto-1/Mixed_Voice_and_Falsetto/seasons in the sun/Mixed_Voice_Group/0006.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/seasons in the sun/Mixed_Voice_Group/0006.mid,0.08333333333333333,0.07692307692307693,0.08,13,12,0.7934238741958541,0.7934238741958541,0.8695848375451264,0.860614724803431,0.0
