file,musicxml_output,precision,recall,f_measure,ref_count,pred_count
EN-Alto-2/Mixed_Voice_and_Falsetto/You Raise Me Up/Control_Group/0000.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/You Raise Me Up/Control_Group/0000.musicxml,0.3333333333333333,0.3,0.3157894736842105,10,9
EN-Tenor-1/Breathy/I Knew You Were Trouble/Control_Group/0005.wav,EN-Tenor-1/Breathy/I Knew You Were Trouble/Control_Group/0005.musicxml,0.30434782608695654,0.2916666666666667,0.2978723404255319,24,23
EN-Alto-1/Mixed_Voice_and_Falsetto/yesterday once more/Mixed_Voice_Group/0006.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/yesterday once more/Mixed_Voice_Group/0006.musicxml,0.35,0.3181818181818182,0.3333333333333333,22,20
EN-Tenor-1/Glissando/Long Live/Glissando_Group/0001.wav,EN-Tenor-1/Glissando/Long Live/Glissando_Group/0001.musicxml,0.3,0.2608695652173913,0.27906976744186046,23,20
EN-Tenor-1/Mixed_Voice_and_Falsetto/Enchanted/Mixed_Voice_Group/0003.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Enchanted/Mixed_Voice_Group/0003.musicxml,0.4,0.42105263157894735,0.41025641025641024,19,20
EN-Tenor-1/Pharyngeal/You Belong With Me/Control_Group/0010.wav,EN-Tenor-1/Pharyngeal/You Belong With Me/Control_Group/0010.musicxml,0.3333333333333333,0.2903225806451613,0.3103448275862069,31,27
EN-Alto-1/Mixed_Voice_and_Falsetto/big big world/Mixed_Voice_Group/0012.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/big big world/Mixed_Voice_Group/0012.musicxml,0.5,0.4166666666666667,0.45454545454545453,24,20
EN-Alto-1/Mixed_Voice_and_Falsetto/seasons in the sun/Falsetto_Group/0008.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/seasons in the sun/Falsetto_Group/0008.musicxml,0.0,0.0,0.0,16,11
EN-Alto-1/Mixed_Voice_and_Falsetto/make it shine/Control_Group/0010.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/make it shine/Control_Group/0010.musicxml,0.46153846153846156,0.3870967741935484,0.42105263157894735,31,26
EN-Alto-2/Glissando/A Thousand Years/Control_Group/0001.wav,EN-Alto-2/Glissando/A Thousand Years/Control_Group/0001.musicxml,0.6470588235294118,0.5789473684210527,0.6111111111111113,19,17
EN-Tenor-1/Pharyngeal/Enchanted/Pharyngeal_Group/0002.wav,EN-Tenor-1/Pharyngeal/Enchanted/Pharyngeal_Group/0002.musicxml,0.13333333333333333,0.10526315789473684,0.11764705882352941,19,15
EN-Alto-2/Pharyngeal/Yesterday Once More/Control_Group/0007.wav,EN-Alto-2/Pharyngeal/Yesterday Once More/Control_Group/0007.musicxml,0.45454545454545453,0.5555555555555556,0.5,9,11
EN-Alto-2/Mixed_Voice_and_Falsetto/What Are Words/Falsetto_Group/0007.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/What Are Words/Falsetto_Group/0007.musicxml,0.6666666666666666,0.5833333333333334,0.6222222222222222,24,21
EN-Alto-2/Breathy/Love Me Like You Do/Breathy_Group/0002.wav,EN-Alto-2/Breathy/Love Me Like You Do/Breathy_Group/0002.musicxml,0.3333333333333333,0.21052631578947367,0.2580645161290323,19,12
EN-Tenor-1/Mixed_Voice_and_Falsetto/Style/Control_Group/0002.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Style/Control_Group/0002.musicxml,0.0,0.0,0.0,15,12
EN-Tenor-1/Glissando/You Belong With Me/Control_Group/0011.wav,EN-Tenor-1/Glissando/You Belong With Me/Control_Group/0011.musicxml,0.09090909090909091,0.04,0.05555555555555555,25,11
EN-Alto-2/Pharyngeal/You Raise Me Up/Pharyngeal_Group/0007.wav,EN-Alto-2/Pharyngeal/You Raise Me Up/Pharyngeal_Group/0007.musicxml,0.18181818181818182,0.18181818181818182,0.18181818181818182,11,11
EN-Alto-1/Pharyngeal/clouds/Control_Group/0016.wav,EN-Alto-1/Pharyngeal/clouds/Control_Group/0016.musicxml,0.14285714285714285,0.14285714285714285,0.14285714285714285,14,14
EN-Alto-1/Pharyngeal/monsters/Pharyngeal_Group/0008.wav,EN-Alto-1/Pharyngeal/monsters/Pharyngeal_Group/0008.musicxml,0.2857142857142857,0.4,0.3333333333333333,10,14
EN-Alto-2/Pharyngeal/My Love/Control_Group/0000.wav,EN-Alto-2/Pharyngeal/My Love/Control_Group/0000.musicxml,0.15384615384615385,0.18181818181818182,0.16666666666666669,11,13
