file,musicxml_output,precision,recall,f_measure,ref_count,pred_count
EN-Alto-2/Mixed_Voice_and_Falsetto/Cry on My Shoulder/Falsetto_Group/0006.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/Cry on My Shoulder/Falsetto_Group/0006.musicxml,0.2,0.2857142857142857,0.23529411764705882,14,20
EN-Tenor-1/Vibrato/I Knew You Were Trouble/Vibrato_Group/0001.wav,EN-Tenor-1/Vibrato/I Knew You Were Trouble/Vibrato_Group/0001.musicxml,0.23076923076923078,0.3,0.2608695652173913,10,13
EN-Tenor-1/Glissando/Stay/Glissando_Group/0003.wav,EN-Tenor-1/Glissando/Stay/Glissando_Group/0003.musicxml,0.5,0.5384615384615384,0.5185185185185186,13,14
EN-Tenor-1/Vibrato/Always Remember Us This Way/Vibrato_Group/0001.wav,EN-Tenor-1/Vibrato/Always Remember Us This Way/Vibrato_Group/0001.musicxml,0.5454545454545454,0.5,0.5217391304347826,12,11
EN-Tenor-1/Glissando/Million Reasons/Glissando_Group/0003.wav,EN-Tenor-1/Glissando/Million Reasons/Glissando_Group/0003.musicxml,0.1,0.08695652173913043,0.09302325581395349,23,20
EN-Tenor-1/Vibrato/Shallow/Vibrato_Group/0002.wav,EN-Tenor-1/Vibrato/Shallow/Vibrato_Group/0002.musicxml,0.2,0.25,0.22222222222222224,12,15
EN-Alto-2/Breathy/My Love/Control_Group/0002.wav,EN-Alto-2/Breathy/My Love/Control_Group/0002.musicxml,0.18181818181818182,0.13333333333333333,0.15384615384615383,15,11
EN-Alto-2/Pharyngeal/My Heart Will Go On/Pharyngeal_Group/0006.wav,EN-Alto-2/Pharyngeal/My Heart Will Go On/Pharyngeal_Group/0006.musicxml,0.7647058823529411,0.6842105263157895,0.7222222222222222,19,17
EN-Alto-1/Pharyngeal/beauty and the beast/Control_Group/0000.wav,EN-Alto-1/Pharyngeal/beauty and the beast/Control_Group/0000.musicxml,0.0,0.0,0.0,5,5
EN-Tenor-1/Vibrato/Unconditionally/Control_Group/0000.wav,EN-Tenor-1/Vibrato/Unconditionally/Control_Group/0000.musicxml,0.3333333333333333,0.375,0.35294117647058826,8,9
EN-Tenor-1/Breathy/All I Ask/Breathy_Group/0006.wav,EN-Tenor-1/Breathy/All I Ask/Breathy_Group/0006.musicxml,0.4166666666666667,0.38461538461538464,0.4,13,12
EN-Tenor-1/Mixed_Voice_and_Falsetto/Love Story/Falsetto_Group/0006.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Love Story/Falsetto_Group/0006.musicxml,0.24390243902439024,0.21739130434782608,0.22988505747126436,46,41
EN-Alto-1/Vibrato/my heart will go on/Control_Group/0004.wav,EN-Alto-1/Vibrato/my heart will go on/Control_Group/0004.musicxml,0.6,0.6,0.6,5,5
EN-Alto-2/Glissando/My Heart Will Go On/Control_Group/0004.wav,EN-Alto-2/Glissando/My Heart Will Go On/Control_Group/0004.musicxml,0.5294117647058824,0.5,0.5142857142857143,18,17
EN-Tenor-1/Mixed_Voice_and_Falsetto/Shallow/Falsetto_Group/0003.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Shallow/Falsetto_Group/0003.musicxml,0.2222222222222222,0.2,0.2105263157894737,10,9
EN-Alto-2/Mixed_Voice_and_Falsetto/Easy On Me/Control_Group/0006.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/Easy On Me/Control_Group/0006.musicxml,0.15384615384615385,0.11764705882352941,0.13333333333333333,17,13
