file,midi_output,precision,recall,f_measure,ref_count,pred_count,raw_pitch_accuracy,raw_chroma_accuracy,overall_accuracy,voicing_recall,voicing_false_alarm
EN-Tenor-1/Pharyngeal/I Knew You Were Trouble/Pharyngeal_Group/0002.wav,EN-Tenor-1/Pharyngeal/I Knew You Were Trouble/Pharyngeal_Group/0002.mid,0.47619047619047616,0.47619047619047616,0.47619047619047616,21,21,0.7681584739545121,0.7681584739545121,0.7945383615084526,0.7681584739545121,0.0
EN-Alto-2/Mixed_Voice_and_Falsetto/The Show/Control_Group/0001.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/The Show/Control_Group/0001.mid,0.3125,0.38461538461538464,0.3448275862068966,26,32,0.9003925417075564,0.9003925417075564,0.9201859744285161,0.900883218842002,0.0055248618784530384
EN-Tenor-1/Vibrato/I Knew You Were Trouble/Control_Group/0004.wav,EN-Tenor-1/Vibrato/I Knew You Were Trouble/Control_Group/0004.mid,0.45454545454545453,0.47619047619047616,0.46511627906976744,21,22,0.9011910013233349,0.9011910013233349,0.903862660944206,0.9126599029554477,0.0
EN-Tenor-1/Vibrato/All I Ask/Vibrato_Group/0002.wav,EN-Tenor-1/Vibrato/All I Ask/Vibrato_Group/0002.mid,0.5454545454545454,0.46153846153846156,0.4999999999999999,13,11,0.7427597955706985,0.7427597955706985,0.7785923753665689,0.7427597955706985,0.0
EN-Alto-1/Mixed_Voice_and_Falsetto/you raise me up/Falsetto_Group/0010.wav,EN-Alto-1/Mixed_Voice_and_Falsetto/you raise me up/Falsetto_Group/0010.mid,0.5555555555555556,0.47619047619047616,0.5128205128205129,21,18,0.8967952199891364,0.8967952199891364,0.9047846889952154,0.9022270505160239,0.03614457831325301
EN-Alto-2/Mixed_Voice_and_Falsetto/Hey Jude/Falsetto_Group/0005.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/Hey Jude/Falsetto_Group/0005.mid,0.30434782608695654,0.4117647058823529,0.35,17,23,0.8732545649838883,0.8732545649838883,0.899873257287706,0.9054779806659506,0.0019801980198019802
EN-Tenor-1/Mixed_Voice_and_Falsetto/Take a Bow/Mixed_Voice_Group/0008.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/Take a Bow/Mixed_Voice_Group/0008.mid,0.5,0.6363636363636364,0.56,11,14,0.9576651699807569,0.9576651699807569,0.9594921402660218,0.9576651699807569,0.010526315789473684
EN-Alto-2/Vibrato/Yesterday Once More/Vibrato_Group/0006.wav,EN-Alto-2/Vibrato/Yesterday Once More/Vibrato_Group/0006.mid,0.4666666666666667,0.4666666666666667,0.4666666666666667,15,15,0.9008307372793354,0.9008307372793354,0.9113689095127611,0.9008307372793354,0.0
EN-Alto-1/Glissando/trouble is a friend/Control_Group/0010.wav,EN-Alto-1/Glissando/trouble is a friend/Control_Group/0010.mid,0.35,0.4375,0.38888888888888884,16,20,0.8096957194430119,0.8096957194430119,0.8243879472693032,0.8581743166580712,0.021621621621621623
EN-Tenor-1/Breathy/Enchanted/Control_Group/0003.wav,EN-Tenor-1/Breathy/Enchanted/Control_Group/0003.mid,0.2727272727272727,0.42857142857142855,0.33333333333333326,7,11,0.9276315789473685,0.9276315789473685,0.9291158536585366,0.9375,0.052083333333333336
EN-Alto-1/Breathy/who says/Control_Group/0005.wav,EN-Alto-1/Breathy/who says/Control_Group/0005.mid,0.3157894736842105,0.42857142857142855,0.36363636363636365,14,19,0.7493449781659388,0.7493449781659388,0.7727632620744259,0.7606986899563318,0.0
EN-Tenor-1/Mixed_Voice_and_Falsetto/What Was I Made For？/Control_Group/0007.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/What Was I Made For？/Control_Group/0007.mid,0.23529411764705882,0.3076923076923077,0.26666666666666666,13,17,0.9237668161434978,0.9237668161434978,0.9260869565217391,0.9237668161434978,0.0
EN-Tenor-1/Vibrato/Enchanted/Control_Group/0004.wav,EN-Tenor-1/Vibrato/Enchanted/Control_Group/0004.mid,0.3684210526315789,0.4666666666666667,0.4117647058823529,15,19,0.8241444866920152,0.8241444866920152,0.8351464435146444,0.8574144486692015,0.08391608391608392
EN-Tenor-1/Pharyngeal/Million Reasons/Pharyngeal_Group/0006.wav,EN-Tenor-1/Pharyngeal/Million Reasons/Pharyngeal_Group/0006.mid,0.3076923076923077,0.36363636363636365,0.33333333333333337,11,13,0.84913112164297,0.84913112164297,0.8545316070068545,0.9273301737756714,0.0
EN-Tenor-1/Glissando/I Knew You Were Trouble/Control_Group/0010.wav,EN-Tenor-1/Glissando/I Knew You Were Trouble/Control_Group/0010.mid,0.8333333333333334,0.7142857142857143,0.7692307692307692,7,6,0.8999165971643036,0.8999165971643036,0.875,0.8999165971643036,0.3105590062111801
EN-Alto-1/Pharyngeal/love stroy/Control_Group/0006.wav,EN-Alto-1/Pharyngeal/love stroy/Control_Group/0006.mid,0.4857142857142857,0.6538461538461539,0.5573770491803278,26,35,0.8165091994032819,0.8165091994032819,0.835742444152431,0.8165091994032819,0.022058823529411766
EN-Alto-2/Mixed_Voice_and_Falsetto/God is A Girl/Control_Group/0007.wav,EN-Alto-2/Mixed_Voice_and_Falsetto/God is A Girl/Control_Group/0007.mid,0.7142857142857143,0.6521739130434783,0.6818181818181819,23,21,0.8063002680965148,0.8063002680965148,0.8521870286576169,0.8063002680965148,0.01006036217303823
EN-Tenor-1/Breathy/You Belong With Me/Control_Group/0013.wav,EN-Tenor-1/Breathy/You Belong With Me/Control_Group/0013.mid,0.7,0.6363636363636364,0.6666666666666666,11,10,0.9140625,0.9140625,0.9126925898752751,0.915625,0.10843373493975904
EN-Tenor-1/Mixed_Voice_and_Falsetto/You Belong With Me/Control_Group/0010.wav,EN-Tenor-1/Mixed_Voice_and_Falsetto/You Belong With Me/Control_Group/0010.mid,0.42857142857142855,0.42857142857142855,0.42857142857142855,35,35,0.7240227196792516,0.7240227196792516,0.7240227196792516,0.8098897427330438,0.0
EN-Alto-2/Glissando/Safe and Sound/Control_Group/0000.wav,EN-Alto-2/Glissando/Safe and Sound/Control_Group/0000.mid,0.6086956521739131,0.5185185185185185,0.5599999999999999,27,23,0.8329101066531234,0.8329101066531234,0.8785081240768094,0.8329101066531234,0.0
